deyim,acıklama
"Ab","Su"
"Abad","Zengin olma, varlıklı olma, bayındır."
"Abd","Kul, köle"
"Abdal","Gezgin derviş. Derviş, Tanrı sevgilisi, kırk din ulusundan biri. Saçlarını, kaşlarını, bıyıklarını ve sakallarını usturayla tıraş ettiren, davul ve dümbeleklerle, sancaklarla toplu halde gezen Şii -Batıni bir derviş topluluğu, doğrudan doğruya derviş anlamına da gelir."
"Abes","Boş, asılsız, saçma"
"Abeş","Kula renkte at, alacalı hayvan."
"Ab-ı Efsun","Göz yaşı"
"Abı Hayat","Ölümsüzlük suyu, bengisu"
"Ab-ı Hayvan","Dirilik suyu, bengisu"
"Ab-ı Kevser","Kevser suyu"
"Ab-ı Mutahhar","Temiz su"
"Ab-ı Nisan","Nisan yağmuru, söylenceye göre, nisan ayında sedefler, deniz dibinden su yüzüne çıkıp, yağmur danelerini içine alıp. sedef yaparmış."
"Ab-ı zemzem","Kabe yakınlarında bir kuyu ve bu kuyunun Müslümanlarca kutsal sayılan suyu."
"Abı-puş","Aba giyen, derviş, fakir"
"Abidane","İbadet edene yakışacak bir surette."
"Abus","Somurtkan"
"Acem","İranlı."
"Acem dağları","Batı İran dağları."
"Acep","Acaba"
"Açak","Açalım"
"Açaram","Açarım"
"Açılcağ","Açılınca gelince."
"Açılıptur","Açılmıştır."
"A'da","Düşmanlar"
"Adalet","Hak tüze"
"Adave","Düşmanlık"
"Adavet","Düşmanlık, buğz, yağılık"
"Adem","İlk peygamberin adı, insan"
"Ademiyet","İnsanlık, insancılılık"
"Adet","Görenek, sayı"
"Adib","Edepler, töreler"
"Adlım","Ünlü, ünü büyük."
"Adu","Düşman, hasım."
"Adu taşı","Düşman taşı."
"Adü","Düşman, yağı"
"Adüvan","Can düşmanı"
"Afak","Ufuklar, gökyüzünün kenarları"
"Aga","Ağa, Bey, Abi, Ağabey"
"Agah","Vakıf, bilen."
"Ağ","Ak."
"Ağ lavaş","Yufka ekmek. Ak undan yapılmış yufka ekmek."
"Ağ mercan","Ak mercan. [mec. Ak meme, sevgilinin süt gibi ak olan memesi.]"
"Ağca","Akça, aka yakın, alacalı."
"Ağca ceyran","Ak ceylan. ''Ağca ceyran sürme çekip gözüne.'' (Ak ceylana benzetilerek sevgilinin güzelliğinin vurgulanması.)"
"Ağ-gızıl","Ak, kızıl karışığı renk, alacalı"
"Ağıl","Koyun ve keçi sürülerinin gecelediği çit ya da duvarla çevrildiği yer."
"Ağır sufra","Şölen sofrası."
"Ağır zürbe","Yabankazı, yabanördeği, turna gibi kuşların uçarken yaptıkları büyük dizi, katar."
"Ağlaram","Ağlarım."
"Ağmak","Akmak, karışmak. ''Sırdaş olup ağ sulara.''"
"Ağu","Ağı, zehir."
"Ağyar","Başkaları."
"Ah ü firaz","Ah edip inlemek, ağlamak."
"Aharam","Akarım. ''Aharam seller içinde.''"
"Ahd","Vadetme, söz verme."
"Ahd ü peyman","Yemin, and."
"Ahdipeyman-ahdipeyman","Ant, anta dayalı sözleşme, antlaşarak yapılan sözleşme."
"Ahenger","Demirci."
"Aheste","Yavaş, ağır, yavaş yavaş"
"Ahıl","Akıl"
"Ahi","Esnafı öğütleyen Fütuvvet ehlinin şeyhi, Kardeşim (Bir"
"Ahibba","Dostlar , sevgililer"
"Ahir","En son, sondaki, nihayet son olarak."
"Ahlak","Huylar, davranışlar, Etik."
"Ahmer","Kırmızı , kızıl."
